Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave
3/14/17,Red Sea,20.0327,38.4972,28.92,7.985,High,152,FALSE
3/20/17,Caribbean Sea,15.0065,-74.9945,29.59,8.052,None,112,FALSE
3/27/17,South China Sea,9.9605,115.0236,31.32,8.061,Medium,115,TRUE
4/3/17,Red Sea,19.9744,38.4505,28.31,8.057,None,138,FALSE
4/9/17,Red Sea,19.9154,38.5765,28.26,8.033,None,107,FALSE
4/16/17,Galápagos,-1.0365,-90.9244,28.61,7.983,Low,99,FALSE
4/22/17,Hawaiian Islands,19.88,-155.4993,28.11,7.983,None,120,FALSE
4/29/17,Hawaiian Islands,19.8832,-155.7176,28.42,8.04,Low,131,FALSE
5/6/17,Great Barrier Reef,-18.1947,147.7555,28.1,8.003,High,162,FALSE
5/12/17,South China Sea,10.003,115.0007,28.46,8.061,Low,118,FALSE
5/19/17,South China Sea,9.9713,114.9727,28.45,8.024,High,109,FALSE
5/25/17,Hawaiian Islands,19.9021,-155.5955,30.76,7.872,None,113,TRUE
6/1/17,Hawaiian Islands,19.9591,-155.6865,27.99,8.042,None,104,FALSE
6/7/17,South China Sea,9.9611,114.9445,31.13,8.044,Low,112,TRUE
6/14/17,Red Sea,20.0361,38.4435,27.71,8.09,Medium,109,FALSE
6/21/17,Galápagos,-0.9182,-90.9776,27.94,8.097,Medium,132,FALSE
6/27/17,South China Sea,9.982,115.058,26.88,8.113,None,145,FALSE
7/4/17,Hawaiian Islands,19.8813,-155.5665,26.62,8.134,Medium,135,FALSE
7/10/17,Galápagos,-0.9799,-90.9131,27.44,8.001,None,107,FALSE
7/17/17,Hawaiian Islands,19.9271,-155.6468,31.13,7.893,High,119,TRUE
7/24/17,Great Barrier Reef,-18.2765,147.6944,27.68,8.086,High,127,FALSE
7/30/17,Great Barrier Reef,-18.2319,147.7049,28.73,8.027,Low,116,FALSE
8/6/17,Hawaiian Islands,19.9122,-155.6683,26.48,8.128,High,142,FALSE
8/12/17,Hawaiian Islands,19.8876,-155.5819,29.02,8.013,Low,103,FALSE
8/19/17,South China Sea,10.0098,114.9511,29.11,7.953,Medium,129,FALSE
8/26/17,Maldives,3.2264,73.2335,29.97,8.104,Low,120,FALSE
9/1/17,Great Barrier Reef,-18.3791,147.6352,27.56,8.07,Low,137,FALSE
9/8/17,South China Sea,9.9637,115.0093,27.37,8.042,Medium,110,FALSE
9/14/17,Hawaiian Islands,19.8506,-155.6504,27.04,8.132,Low,120,FALSE
9/21/17,Maldives,3.3344,73.2454,28.78,8.002,High,127,FALSE
9/27/17,Great Barrier Reef,-18.3159,147.7053,32.34,7.968,Medium,98,TRUE
10/4/17,Caribbean Sea,14.9648,-75.0017,31.16,7.966,Medium,120,TRUE
10/11/17,Great Barrier Reef,-18.2517,147.6711,29.45,8.08,None,119,FALSE
10/17/17,Red Sea,19.9215,38.4636,28.13,8.054,Low,133,FALSE
10/24/17,South China Sea,10.0089,114.9332,29.07,8.069,High,122,FALSE
10/30/17,Maldives,3.2568,73.2624,29.19,8.033,Low,88,FALSE
11/6/17,Great Barrier Reef,-18.2656,147.7096,28.91,7.978,Medium,99,FALSE
11/13/17,Great Barrier Reef,-18.2344,147.6972,29.52,8.031,High,110,FALSE
11/19/17,Galápagos,-0.9069,-90.9914,28.64,8.024,Low,112,FALSE
11/26/17,Hawaiian Islands,19.8813,-155.5717,27.78,8.127,Medium,113,FALSE
12/2/17,Galápagos,-0.9631,-90.9876,30.67,8.016,Low,113,TRUE
12/9/17,Galápagos,-1.0281,-90.9522,29.83,8.027,None,122,FALSE
12/15/17,Great Barrier Reef,-18.313,147.7697,31.95,7.963,High,78,TRUE
12/22/17,Maldives,3.2755,73.2997,27.72,8.045,None,123,FALSE
12/29/17,South China Sea,9.9328,114.9541,26.99,8.042,Low,134,FALSE
1/4/18,Red Sea,20.0117,38.5775,27,8.129,High,131,FALSE
1/11/18,Maldives,3.2003,73.2544,26.82,8.103,Medium,139,FALSE
1/17/18,Great Barrier Reef,-18.2625,147.7137,32.18,7.944,Low,75,TRUE
1/24/18,Great Barrier Reef,-18.3183,147.6714,27.54,8.129,None,150,FALSE
1/31/18,Red Sea,19.9715,38.4584,29.21,8.008,None,122,FALSE
2/6/18,Great Barrier Reef,-18.277,147.6234,30.82,8.093,High,87,TRUE
2/13/18,Maldives,3.1834,73.235,29,8.073,Low,145,FALSE
2/19/18,Great Barrier Reef,-18.2959,147.6593,26.43,8.055,Medium,140,FALSE
2/26/18,Galápagos,-0.8641,-90.9915,28.84,8.042,Low,134,FALSE
3/4/18,Hawaiian Islands,20.0231,-155.6093,27.77,8.117,High,137,FALSE
3/11/18,Red Sea,20.0923,38.5292,27.96,8.09,Low,142,FALSE
3/18/18,Maldives,3.2438,73.2461,30.1,8.076,Low,124,TRUE
3/24/18,Great Barrier Reef,-18.2547,147.6908,28.72,8.106,Low,105,FALSE
3/31/18,Maldives,3.2212,73.201,28.54,8.113,None,122,FALSE
4/6/18,Great Barrier Reef,-18.2848,147.6312,29.62,8.06,None,141,FALSE
4/13/18,Caribbean Sea,14.9846,-74.989,28.87,8.121,Low,114,FALSE
4/20/18,Galápagos,-0.9398,-90.9352,28.78,8.022,Medium,120,FALSE
4/26/18,Hawaiian Islands,19.9505,-155.6341,28.7,8.011,None,135,FALSE
5/3/18,Great Barrier Reef,-18.3633,147.6713,29.07,8.117,None,113,FALSE
5/9/18,Great Barrier Reef,-18.3149,147.7933,26.33,7.984,Medium,148,FALSE
5/16/18,Maldives,3.1777,73.1696,29.56,8.041,None,100,FALSE
5/23/18,Hawaiian Islands,19.8328,-155.5392,29.48,8.026,None,137,FALSE
5/29/18,Maldives,3.1493,73.1444,27.46,8.068,Low,134,FALSE
6/5/18,Maldives,3.1907,73.2383,26.62,8.16,None,137,FALSE
6/11/18,Great Barrier Reef,-18.2312,147.7163,29.19,8.065,Low,119,FALSE
6/18/18,Hawaiian Islands,19.9289,-155.5163,28.79,8.08,Low,115,FALSE
6/24/18,Hawaiian Islands,19.9688,-155.6166,31.2,7.994,High,71,TRUE
7/1/18,Hawaiian Islands,19.9032,-155.6169,29.76,7.992,Medium,100,FALSE
7/8/18,Caribbean Sea,14.9055,-75.0226,24.86,8.044,Medium,167,FALSE
7/14/18,Caribbean Sea,15.0393,-74.9787,27.05,8.077,None,134,FALSE
7/21/18,Great Barrier Reef,-18.345,147.7744,29.82,8.013,None,107,FALSE
7/27/18,South China Sea,10.0104,114.8979,28.13,8.023,Low,108,FALSE
8/3/18,Red Sea,19.9859,38.5899,29.46,8.002,High,118,FALSE
8/10/18,Hawaiian Islands,19.9668,-155.5366,28.59,8.016,None,129,FALSE
8/16/18,Great Barrier Reef,-18.2674,147.744,29.45,8.083,Medium,102,FALSE
8/23/18,South China Sea,10.0659,115.0099,31.61,7.953,None,114,TRUE
8/29/18,Caribbean Sea,15.0099,-75.0326,27.77,8.048,High,133,FALSE
9/5/18,Red Sea,20.0261,38.4713,28.46,8.158,Low,146,FALSE
9/11/18,Maldives,3.2246,73.2226,28.68,8.077,Medium,102,FALSE
9/18/18,Maldives,3.1899,73.1373,29.1,8.07,Medium,106,FALSE
9/25/18,Hawaiian Islands,19.9755,-155.6441,26.3,8.105,None,157,FALSE
10/1/18,Galápagos,-0.8696,-90.9885,30.12,8.016,None,101,TRUE
10/8/18,Red Sea,20.0442,38.5326,26.14,8.171,Low,164,FALSE
10/14/18,Caribbean Sea,14.9687,-74.9802,29.24,8.048,Low,104,FALSE
10/21/18,Great Barrier Reef,-18.3207,147.6979,30.26,8.042,Low,96,TRUE
10/28/18,Caribbean Sea,15.0386,-75.1424,30.22,7.929,None,97,TRUE
11/3/18,Great Barrier Reef,-18.3431,147.6345,30.24,7.992,Low,107,TRUE
11/10/18,Hawaiian Islands,19.8945,-155.5589,28.62,7.984,High,133,FALSE
11/16/18,Red Sea,19.9753,38.4222,27.86,8.138,None,139,FALSE
11/23/18,Great Barrier Reef,-18.3045,147.6817,28.02,8.163,None,130,FALSE
11/29/18,Caribbean Sea,15.0215,-74.9485,28.86,8.03,Medium,113,FALSE
12/6/18,Hawaiian Islands,19.8932,-155.5847,29.59,8.031,High,120,FALSE
12/13/18,Hawaiian Islands,19.8928,-155.5789,25.5,8.156,None,155,FALSE
12/19/18,Caribbean Sea,15.0499,-75.1448,31.63,7.98,Medium,105,TRUE
12/26/18,Red Sea,19.948,38.5306,26.92,8.05,None,164,FALSE
1/1/19,Great Barrier Reef,-18.2966,147.7101,29.81,8.049,Medium,109,FALSE
1/8/19,South China Sea,10.0182,115.1202,28.41,8.062,High,136,FALSE
1/15/19,Red Sea,20.0553,38.5594,29.46,7.974,High,134,FALSE
1/21/19,South China Sea,9.9427,115.0151,27.37,8.069,Low,136,FALSE
1/28/19,Red Sea,20.0161,38.5211,30.92,8.024,None,92,TRUE
2/3/19,Great Barrier Reef,-18.2389,147.7587,26.66,8.117,None,148,FALSE
2/10/19,Hawaiian Islands,19.8819,-155.514,28.27,8.061,High,119,FALSE
2/17/19,Red Sea,20.0008,38.4452,26.34,8.173,High,128,FALSE
2/23/19,Galápagos,-1.0034,-91.0733,27.54,8.003,None,154,FALSE
3/2/19,Galápagos,-0.9033,-91,31.88,8.032,High,81,TRUE
3/8/19,Hawaiian Islands,19.7718,-155.4683,26.42,8.009,Medium,156,FALSE
3/15/19,Red Sea,20.122,38.5692,29.35,8.063,None,124,FALSE
3/21/19,South China Sea,10.0379,115.0141,28.66,8.044,None,107,FALSE
3/28/19,Caribbean Sea,14.986,-75.0846,28.35,8.004,Low,104,FALSE
4/4/19,Red Sea,20.009,38.5696,29.88,7.944,Low,91,FALSE
4/10/19,South China Sea,10.047,114.9509,28.16,8.084,None,108,FALSE
4/17/19,Red Sea,20.0053,38.4333,27.6,8.084,Low,105,FALSE
4/23/19,Maldives,3.2248,73.2197,29.33,8.045,Medium,132,FALSE
4/30/19,Red Sea,20.0063,38.4785,28.68,8.073,None,118,FALSE
5/7/19,Maldives,3.2048,73.1856,27.51,8,Medium,156,FALSE
5/13/19,Hawaiian Islands,19.8346,-155.6174,27.42,8.116,Low,126,FALSE
5/20/19,Hawaiian Islands,19.9592,-155.6165,28.92,8,None,147,FALSE
5/26/19,Maldives,3.1434,73.2362,29.45,8.052,High,107,FALSE
6/2/19,Caribbean Sea,14.9935,-74.9978,28.28,8.103,Medium,155,FALSE
6/8/19,Caribbean Sea,14.9721,-75.0685,28.37,8.182,Medium,109,FALSE
6/15/19,Great Barrier Reef,-18.2051,147.7831,27.67,8.095,Medium,152,FALSE
6/22/19,Red Sea,19.981,38.4898,27.63,8.017,None,118,FALSE
6/28/19,Maldives,3.1416,73.2224,27.35,8.085,Low,108,FALSE
7/5/19,Caribbean Sea,15.0165,-74.9583,25.51,8.129,High,168,FALSE
7/11/19,Red Sea,19.9395,38.5836,29.13,8.002,High,112,FALSE
7/18/19,Caribbean Sea,15.0279,-74.9962,29.31,7.988,None,114,FALSE
7/25/19,Caribbean Sea,14.9293,-75.0056,27.14,8.04,None,152,FALSE
7/31/19,Galápagos,-0.8992,-90.9351,26.86,8.067,High,154,FALSE
8/7/19,Great Barrier Reef,-18.28,147.8152,29.09,8.048,Medium,109,FALSE
8/13/19,South China Sea,10.0067,114.9924,29.56,8.077,Medium,97,FALSE
8/20/19,Caribbean Sea,14.9334,-75.0918,29.26,7.98,Medium,80,FALSE
8/26/19,South China Sea,10.0194,115.1246,28.49,8.092,Low,121,FALSE
9/2/19,Galápagos,-0.9587,-90.9196,28.06,8.072,Low,129,FALSE
9/9/19,Great Barrier Reef,-18.3205,147.7488,28.24,8.017,Medium,130,FALSE
9/15/19,Maldives,3.1579,73.2221,28.49,8.105,None,127,FALSE
9/22/19,Hawaiian Islands,19.8955,-155.5419,30.59,8.036,Low,99,TRUE
9/28/19,Caribbean Sea,14.9344,-75.0533,28.04,8.029,None,121,FALSE
10/5/19,Galápagos,-0.951,-90.9391,28.39,8.076,Medium,122,FALSE
10/12/19,Caribbean Sea,14.9012,-75.047,28.28,7.994,Medium,131,FALSE
10/18/19,Red Sea,20.0765,38.5609,28.18,8.131,Medium,125,FALSE
10/25/19,Galápagos,-0.9707,-90.9963,28.05,8.04,None,127,FALSE
10/31/19,Caribbean Sea,15.008,-74.9998,29.16,8.096,Medium,127,FALSE
11/7/19,South China Sea,9.9258,114.8723,29.9,7.954,Low,102,FALSE
11/13/19,Caribbean Sea,14.9415,-75.0901,29.31,8.072,Medium,103,FALSE
11/20/19,Caribbean Sea,14.8704,-75.0273,29.09,7.964,High,116,FALSE
11/27/19,Hawaiian Islands,19.896,-155.5538,28.68,7.998,None,136,FALSE
12/3/19,Maldives,3.1949,73.2193,27.1,8.056,High,120,FALSE
12/10/19,South China Sea,9.9914,115.0856,26.44,8.01,Medium,162,FALSE
12/16/19,Caribbean Sea,14.9895,-75.0335,30.06,7.989,Medium,131,TRUE
12/23/19,South China Sea,10.0339,114.9756,31.74,7.955,Medium,98,TRUE
12/30/19,Hawaiian Islands,19.9118,-155.5177,30.84,8.005,Medium,85,TRUE
1/5/20,Red Sea,20.023,38.4661,31.52,7.996,Medium,84,TRUE
1/12/20,South China Sea,10.0092,114.9326,27.04,8.139,Medium,124,FALSE
1/18/20,Maldives,3.1505,73.2475,30.28,8.05,Low,117,TRUE
1/25/20,South China Sea,9.9622,114.9289,30.75,7.989,None,93,TRUE
2/1/20,Red Sea,20.0664,38.5278,29.18,8.145,None,103,FALSE
2/7/20,Red Sea,20.0464,38.5029,28.9,8.118,Low,123,FALSE
2/14/20,Great Barrier Reef,-18.2602,147.7528,27.95,8.019,None,109,FALSE
2/20/20,South China Sea,9.9017,115.1028,26.85,8.072,Medium,132,FALSE
2/27/20,Red Sea,20.0154,38.5408,29.79,7.995,High,104,FALSE
3/4/20,Caribbean Sea,15.0141,-75.0124,30.91,8.026,None,106,TRUE
3/11/20,Red Sea,20.0331,38.5587,28.77,7.98,None,123,FALSE
3/18/20,Great Barrier Reef,-18.3197,147.6728,29.38,8.094,None,111,FALSE
3/24/20,Caribbean Sea,15.0154,-74.9149,28.86,8.173,High,124,FALSE
3/31/20,Galápagos,-1.0418,-90.9279,29.07,8.103,Low,124,FALSE
4/6/20,Galápagos,-0.9607,-91.0268,28.19,8.014,None,114,FALSE
4/13/20,Galápagos,-0.9244,-90.8821,29.09,7.978,Medium,120,FALSE
4/20/20,Caribbean Sea,15.0598,-75.0305,28.3,8.055,High,110,FALSE
4/26/20,Great Barrier Reef,-18.2547,147.6932,29.13,7.993,None,107,FALSE
5/3/20,Caribbean Sea,15.0361,-75.0186,31.09,7.978,None,97,TRUE
5/9/20,Hawaiian Islands,19.9434,-155.6537,25.86,8.027,Low,165,FALSE
5/16/20,Great Barrier Reef,-18.3147,147.8271,27.65,8.076,Low,151,FALSE
5/22/20,South China Sea,10.1003,115.1031,30.31,8.065,Low,110,TRUE
5/29/20,Caribbean Sea,15.0389,-75.0276,27.27,8.074,Medium,129,FALSE
6/5/20,Caribbean Sea,14.9773,-74.9652,29.93,8.026,High,127,FALSE
6/11/20,Caribbean Sea,14.9429,-75.0097,27.42,7.978,Medium,129,FALSE
6/18/20,Great Barrier Reef,-18.2932,147.7749,29.45,7.98,Medium,138,FALSE
6/24/20,Red Sea,20.0611,38.5291,28.16,8.009,Low,117,FALSE
7/1/20,Red Sea,20.0544,38.5942,30.81,7.979,Medium,80,TRUE
7/8/20,South China Sea,10.007,114.9116,28.98,8.033,None,108,FALSE
7/14/20,South China Sea,9.9203,115.0257,27.7,8.007,Medium,84,FALSE
7/21/20,Caribbean Sea,14.9986,-74.9114,30.99,7.977,High,86,TRUE
7/27/20,South China Sea,10.0234,114.9501,28.95,8.079,Low,133,FALSE
8/3/20,Caribbean Sea,14.995,-75.0102,27.18,8.035,None,129,FALSE
8/9/20,Maldives,3.2212,73.2664,27.3,8.149,Medium,127,FALSE
8/16/20,Red Sea,19.9989,38.4626,24.86,8.167,Medium,167,FALSE
8/23/20,South China Sea,9.9859,115.0033,29.27,7.956,Low,104,FALSE
8/29/20,Maldives,3.2425,73.158,28.94,7.973,Low,122,FALSE
9/5/20,Red Sea,19.9982,38.4192,30.25,7.978,High,90,TRUE
9/11/20,Red Sea,20.01,38.5574,26.98,8.084,High,141,FALSE
9/18/20,Caribbean Sea,15.0347,-74.9912,27.95,8.02,High,126,FALSE
9/25/20,South China Sea,9.9464,114.8539,29.15,8.082,Low,78,FALSE
10/1/20,South China Sea,9.9495,115.031,31.59,7.989,High,78,TRUE
10/8/20,Galápagos,-0.9629,-90.8969,27.53,8.029,Medium,122,FALSE
10/14/20,Caribbean Sea,14.9523,-74.9939,30.94,8.017,None,91,TRUE
10/21/20,Hawaiian Islands,19.8822,-155.661,29.82,8.02,Low,104,FALSE
10/28/20,Great Barrier Reef,-18.1274,147.7141,27.37,8.051,None,148,FALSE
11/3/20,Caribbean Sea,15.0057,-75.0719,29.88,7.989,Low,134,FALSE
11/10/20,Red Sea,20.054,38.4776,30.42,8.015,Medium,113,TRUE
11/16/20,Maldives,3.227,73.1784,27.53,8.121,Low,124,FALSE
11/23/20,Hawaiian Islands,19.8766,-155.6306,29.14,8.14,High,97,FALSE
11/29/20,Caribbean Sea,15.0012,-74.9294,28.38,8.075,None,105,FALSE
12/6/20,Great Barrier Reef,-18.2657,147.6898,29.98,8.08,High,144,FALSE
12/13/20,Hawaiian Islands,19.9258,-155.5665,28.79,8.027,Medium,122,FALSE
